date,close,nav
2026-04-01,11101,11101
2026-04-02,11102,11073
2026-04-03,11140,11075
2026-04-06,11173,11100
2026-04-07,11074,11053
2026-04-08,11062,11053
2026-04-09,11034,11053
2026-04-10,10919,10947
2026-04-13,11041,11008
2026-04-14,11140,11044
2026-04-15,11117,11007
2026-04-16,11115,10997
2026-04-17,11157,11027
2026-04-20,11121,11011
2026-04-21,11087,10997
2026-04-22,10956,10909
2026-04-23,10980,10943
2026-04-24,11081,10950
2026-04-27,11116,10967
2026-04-28,10986,10875
2026-04-29,11049,10974
2026-04-30,11009,10983
2026-05-01,10998,10960
2026-05-04,11132,11082
2026-05-05,11058,11079
2026-05-06,10995,10992
2026-05-07,10946,10968
2026-05-08,10874,10831
2026-05-11,10937,10893
2026-05-12,10980,10868
2026-05-13,10899,10824
2026-05-14,10940,10888
2026-05-15,10845,10789
2026-05-18,10915,10821
2026-05-19,10800,10697
2026-05-20,10692,10658
2026-05-21,10622,10586
2026-05-22,10706,10673
2026-05-25,10789,10779
2026-05-26,10740,10759
2026-05-27,10868,10810
2026-05-28,10832,10799
2026-05-29,10825,10833
2026-06-01,10808,10788
2026-06-02,10708,10685
2026-06-03,10593,10577
2026-06-04,10647,10600
2026-06-05,10796,10735
2026-06-08,10819,10751
2026-06-09,10818,10720
2026-06-10,10932,10835
2026-06-11,10905,10849
2026-06-12,10887,10855
2026-06-15,10874,10870
2026-06-16,10875,10862
2026-06-17,10808,10844
2026-06-18,10648,10757
2026-06-19,10698,10788
2026-06-22,10648,10782
2026-06-23,10655,10853
2026-06-24,10679,10831
2026-06-25,10558,10717
2026-06-26,10597,10711
2026-06-29,10692,10813
2026-06-30,10639,10790
2026-07-01,10556,10737
2026-07-02,10490,10665
2026-07-03,10443,10602
2026-07-06,10414,10584
2026-07-07,10358,10513
2026-07-08,10405,10603
2026-07-09,10418,10586
2026-07-10,10374,10592
2026-07-13,10483,10679
2026-07-14,10631,10769
2026-07-15,10686,10756
2026-07-16,10791,10776
2026-07-17,10765,10820
2026-07-20,10795,10809
2026-07-21,10742,10702
